timestamp,file_path,file_hash,wordpress_id,sku,product_name,file_size_kb,status
2025-11-14T11:13:38.302017,wordpress/wp-content/uploads/products/artigos em pele/bone-18161n-bone-18161m/img_01_pro.jpg,5f127d15b5f28455310f1d3c7f19997d,3336,bone-18161n-bone-18161m,,43,registered
2025-11-14T11:13:39.232960,wordpress/wp-content/uploads/products/artigos em pele/bone-18161n-bone-18161m/img_02_pro.jpg,b265584e2c73a01a571d2485be9fec38,3337,bone-18161n-bone-18161m,,44,registered
2025-11-14T11:13:40.165915,wordpress/wp-content/uploads/products/artigos em pele/bone-18161n-bone-18161m/img_03_pro.jpg,bbc2d5591719cd8c78dbe92ce99fd9d7,3338,bone-18161n-bone-18161m,,48,registered
2025-11-14T11:13:41.038222,wordpress/wp-content/uploads/products/artigos em pele/bone-18161n-bone-18161m/img_04_pro.jpg,b3bddb7e6dd302f36520403972ed9f0a,3339,bone-18161n-bone-18161m,,44,registered
2025-11-14T11:13:41.892304,wordpress/wp-content/uploads/products/artigos em pele/bone-18161n-bone-18161m/img_05_pro.jpg,a9f2a9d83da369811f9047d095511d66,3340,bone-18161n-bone-18161m,,36,registered
2025-11-14T11:13:42.791913,wordpress/wp-content/uploads/products/artigos em pele/gants-17119/img_01_pro.jpg,2359b82a67abc05c705dc0c833b28f55,3341,gants-17119,,64,registered
2025-11-14T11:13:43.670956,wordpress/wp-content/uploads/products/artigos em pele/gants-17119/img_02_pro.jpg,332996a87761b28eba42d55b8df29107,3342,gants-17119,,56,registered
2025-11-14T11:13:44.558464,wordpress/wp-content/uploads/products/artigos em pele/gants-17119/img_03_pro.jpg,28e66c49bb1f85bb3987adeb2cc33e79,3343,gants-17119,,43,registered
2025-11-14T11:13:45.738140,wordpress/wp-content/uploads/products/artigos em pele/gants-17119/img_04_pro.jpg,b1f1209840a9f164baa44d827facab70,3344,gants-17119,,51,registered
2025-11-14T11:13:46.583700,wordpress/wp-content/uploads/products/artigos em pele/gants-17119/img_05_pro.jpg,34ce0b777180d189b54a08368c08e9fd,3345,gants-17119,,58,registered
2025-11-14T11:13:47.455567,wordpress/wp-content/uploads/products/artigos em pele/gants-17120/img_01_pro.jpg,958ee76df230f03346bf9e99108d7943,3346,gants-17120,,58,registered
2025-11-14T11:13:48.349131,wordpress/wp-content/uploads/products/artigos em pele/gants-17120/img_02_pro.jpg,f748ea7e35906d1a8ce0b32d514478c5,3347,gants-17120,,51,registered
2025-11-14T11:13:49.196673,wordpress/wp-content/uploads/products/artigos em pele/gants-17120/img_03_pro.jpg,65d99f935ae31a3634c4908ef29a0057,3348,gants-17120,,60,registered
2025-11-14T11:13:50.042063,wordpress/wp-content/uploads/products/artigos em pele/gants-17120/img_04_pro.jpg,92299ed9304e82c47ff8d4daca0d19e5,3349,gants-17120,,51,registered
2025-11-14T11:13:50.914612,wordpress/wp-content/uploads/products/artigos em pele/gants-17120/img_05_pro.jpg,489873d8f8f3d5edb8083068c1def1eb,3350,gants-17120,,52,registered
2025-11-14T11:13:51.782397,wordpress/wp-content/uploads/products/artigos em pele/gants-17120/img_06_pro.jpg,3afb994462bf2c003fd9065169268510,3351,gants-17120,,53,registered
2025-11-14T11:13:52.657916,wordpress/wp-content/uploads/products/artigos em pele/gants-17120/img_07_pro.jpg,c023835ea7406608ad9967db2e560dfc,3352,gants-17120,,54,registered
2025-11-14T11:13:53.546202,wordpress/wp-content/uploads/products/artigos em pele/gants-17120/img_08_pro.jpg,a1542eba218c3b71745089ba30d69ee2,3353,gants-17120,,56,registered
2025-11-14T11:13:54.415370,wordpress/wp-content/uploads/products/artigos em pele/gants-17120/img_09_pro.jpg,43d3d27eff062b9212f3deb3d764d639,3354,gants-17120,,60,registered
2025-11-14T11:13:55.513765,wordpress/wp-content/uploads/products/artigos em pele/gants-17120/img_10_pro.jpg,c4202b8cf51b50ef8c8e8043a042ec0b,3355,gants-17120,,39,registered
2025-11-14T11:13:56.416892,wordpress/wp-content/uploads/products/artigos em pele/porte-monnaie-5657/img_01_pro.jpg,fb0dbb6973208d9dd71e6f227b195f55,3356,porte-monnaie-5657,,53,registered
2025-11-14T11:13:57.381754,wordpress/wp-content/uploads/products/boinas inverno/18220mi/img_01_pro.jpg,4967198eceb674de91be9653225607f5,3357,18220mi,,69,registered
2025-11-14T11:13:58.268645,wordpress/wp-content/uploads/products/boinas inverno/18220mi/img_02_pro.jpg,2e116d366d9ba5a85cffa0bdbf3eb296,3358,18220mi,,58,registered
2025-11-14T11:13:59.168667,wordpress/wp-content/uploads/products/boinas inverno/18220mi/img_03_pro.jpg,0c5cab381bfb6bdd5b6a3b5d9962ac4a,3359,18220mi,,69,registered
2025-11-14T11:14:00.027914,wordpress/wp-content/uploads/products/boinas inverno/18220mi/img_04_pro.jpg,d3002a0d8c9a8db8f5a1eb910d1433c1,3360,18220mi,,80,registered
2025-11-14T11:14:00.915738,wordpress/wp-content/uploads/products/boinas inverno/bone-18074-bone-18074k-bone-18074gc/img_01_pro.jpg,25fe3068aedee876451d0293a33174ac,3361,bone-18074-bone-18074k-bone-18074gc,,93,registered
2025-11-14T11:14:01.821701,wordpress/wp-content/uploads/products/boinas inverno/bone-18074-bone-18074k-bone-18074gc/img_02_pro.jpg,941b8364008686c09c9c636e20b4c84b,3362,bone-18074-bone-18074k-bone-18074gc,,54,registered
2025-11-14T11:14:02.695905,wordpress/wp-content/uploads/products/boinas inverno/bone-18074-bone-18074k-bone-18074gc/img_03_pro.jpg,831eb4f18b6e5a6f6bad72d01444d608,3363,bone-18074-bone-18074k-bone-18074gc,,102,registered
2025-11-14T11:14:03.557517,wordpress/wp-content/uploads/products/boinas inverno/bone-18074-bone-18074k-bone-18074gc/img_04_pro.jpg,a6a8a6b2400c9b8a3035e3ace57b962c,3364,bone-18074-bone-18074k-bone-18074gc,,85,registered
2025-11-14T11:14:04.429863,wordpress/wp-content/uploads/products/boinas inverno/bone-18074-bone-18074k-bone-18074gc/img_05_pro.jpg,4282fe68eb5c4a65e4bd6fe4e70ecbb6,3365,bone-18074-bone-18074k-bone-18074gc,,86,registered
2025-11-14T11:14:05.723860,wordpress/wp-content/uploads/products/boinas inverno/bone-18074-bone-18074k-bone-18074gc/img_06_pro.jpg,f87acefc5adac0f1ce3bbc58360ed949,3366,bone-18074-bone-18074k-bone-18074gc,,77,registered
2025-11-14T11:14:06.570780,wordpress/wp-content/uploads/products/boinas inverno/bone-18074-bone-18074k-bone-18074gc/img_07_pro.jpg,54ac4d7240fd6493eb8f6e1b5a1e7906,3367,bone-18074-bone-18074k-bone-18074gc,,56,registered
2025-11-14T11:14:07.433136,wordpress/wp-content/uploads/products/boinas inverno/bone-18074-bone-18074k-bone-18074gc/img_08_pro.jpg,4bd994cf1beda3f647628e8fd68ed040,3368,bone-18074-bone-18074k-bone-18074gc,,71,registered
2025-11-14T11:14:08.348135,wordpress/wp-content/uploads/products/boinas inverno/bone-18074-bone-18074k-bone-18074gc/img_09_pro.jpg,a2e6649c572fc19bff12c4ec7d2b9fd6,3369,bone-18074-bone-18074k-bone-18074gc,,85,registered
2025-11-14T11:14:09.184272,wordpress/wp-content/uploads/products/boinas inverno/bone-18074-bone-18074k-bone-18074gc/img_10_pro.jpg,23d10a1ddf52ca325c72af862e06427c,3370,bone-18074-bone-18074k-bone-18074gc,,57,registered
2025-11-14T11:14:10.045417,wordpress/wp-content/uploads/products/boinas inverno/bone-18074-bone-18074k-bone-18074gc/img_11_pro.jpg,9b86f142d8b7646bedc7cc8cffa0866d,3371,bone-18074-bone-18074k-bone-18074gc,,72,registered
2025-11-14T11:14:10.907526,wordpress/wp-content/uploads/products/boinas inverno/bone-18074-bone-18074k-bone-18074gc/img_12_pro.jpg,256064751e5529fda836201020e862dd,3372,bone-18074-bone-18074k-bone-18074gc,,93,registered
2025-11-14T11:14:11.776666,wordpress/wp-content/uploads/products/boinas inverno/bone-18074-bone-18074k-bone-18074gc/img_13_pro.jpg,bb9c5fc9ae4a5241c1306dc1d580fd22,3373,bone-18074-bone-18074k-bone-18074gc,,62,registered
2025-11-14T11:14:12.695079,wordpress/wp-content/uploads/products/boinas inverno/bone-18074-bone-18074k-bone-18074gc/img_14_pro.jpg,682c34a85a850337cfbcd651a3bdff53,3374,bone-18074-bone-18074k-bone-18074gc,,93,registered
2025-11-14T11:14:13.550040,wordpress/wp-content/uploads/products/boinas inverno/bone-18074-bone-18074k-bone-18074gc/img_15_pro.jpg,05a13e171aa807288a649f45e9e83e9f,3375,bone-18074-bone-18074k-bone-18074gc,,90,registered
2025-11-14T11:14:14.508441,wordpress/wp-content/uploads/products/boinas inverno/bone-18074-bone-18074k-bone-18074gc/img_16_pro.jpg,f2a27d6106a8d437a31d607d562646f0,3376,bone-18074-bone-18074k-bone-18074gc,,92,registered
2025-11-14T11:14:15.660836,wordpress/wp-content/uploads/products/boinas inverno/bone-18074-bone-18074k-bone-18074gc/img_17_pro.jpg,f6c8c3abbd2dc4be53ad66de947ab4a9,3377,bone-18074-bone-18074k-bone-18074gc,,62,registered
2025-11-14T11:14:16.525551,wordpress/wp-content/uploads/products/boinas inverno/bone-18074-bone-18074k-bone-18074gc/img_18_pro.jpg,cf0b118689e11cc7544ca39ce1d3d69c,3378,bone-18074-bone-18074k-bone-18074gc,,85,registered
2025-11-14T11:14:17.368044,wordpress/wp-content/uploads/products/boinas inverno/bone-18106mi-bone-18106k-bone-18106g-18106ma/img_01_pro.jpg,77da0022cad15e3c3e642a2094c07f84,3379,bone-18106mi-bone-18106k-bone-18106g-18106ma,,52,registered
